T_UPDATE,CALLSIGN,OPERATOR,TYPE_OF_TRANSPONDER,T0,ICAO_ACTYPE,ADEP,DEST,TAS,RFL
26-8-2019 05:50:06,KLM28K,KLM,L,26-8-2019 01:25:00,B737,EKBI,EHAM,441,260.0
26-8-2019 05:20:07,TFL649,TFL,L,26-8-2019 01:25:00,B738,EHAM,GCTS,448,360.0
26-8-2019 06:05:07,KLM88J,KLM,H,26-8-2019 01:29:00,E190,EDDH,EHAM,363,180.0
26-8-2019 05:35:08,KLM29E,KLM,L,26-8-2019 01:29:21,B772,KIAD,EHAM,485,350.0
26-8-2019 05:50:08,KLM536,KLM,L,26-8-2019 01:30:00,A332,HUEN,EHAM,464,340.0
26-8-2019 05:50:07,TFL69T,TFL,H,26-8-2019 01:30:00,B738,EHAM,LGKP,448,370.0
26-8-2019 05:35:08,TRA75N,TRA,L,26-8-2019 01:30:00,B738,EHAM,LEIB,450,350.0
26-8-2019 06:05:06,SVA933D,SVA,H,26-8-2019 01:30:00,B77L,OEJN,EHAM,507,320.0
26-8-2019 05:50:08,KLM34Z,KLM,L,26-8-2019 01:30:00,E75L,EDDL,EHAM,319,140.0
26-8-2019 05:35:07,KLM174,KLM,L,26-8-2019 01:31:06,B744,HKJK,EHAM,504,360.0
26-8-2019 05:50:07,KLM44R,KLM,L,26-8-2019 01:34:00,B738,EDDT,EHAM,434,260.0
26-8-2019 05:35:07,TFL498,TFL,L,26-8-2019 01:35:00,B738,GMTT,EHRD,457,360.0
26-8-2019 05:50:07,KLM62N,KLM,L,26-8-2019 01:35:00,E75L,EDDW,EHAM,357,220.0
26-8-2019 05:50:07,KLM80Z,KLM,L,26-8-2019 01:35:00,E75L,EDDN,EHAM,414,340.0
26-8-2019 05:35:08,KLM36L,KLM,L,26-8-2019 01:36:00,E75L,ELLX,EHAM,337,220.0
26-8-2019 06:05:06,KLM96F,KLM,L,26-8-2019 01:38:00,B738,EKCH,EHAM,450,380.0
26-8-2019 06:05:07,KLM42A,KLM,H,26-8-2019 01:39:01,E190,EDDS,EHAM,390,240.0
26-8-2019 05:50:07,KLM23P,KLM,L,26-8-2019 01:40:01,B737,EHAM,LFPG,438,210.0
26-8-2019 05:35:08,PNX515,PNX,S,26-8-2019 01:45:01,JS32,EHGG,EKCH,266,150.0
26-8-2019 05:50:07,TRA6887,TRA,L,26-8-2019 01:45:01,B737,EHAM,BIKF,440,380.0
26-8-2019 05:35:08,KLM1721,KLM,H,26-8-2019 01:45:01,E190,EHAM,EBBR,329,150.0
26-8-2019 06:05:07,KLM1392,KLM,L,26-8-2019 01:45:01,B738,ULLI,EHAM,448,380.0
26-8-2019 05:50:07,EWG7180,EWG,H,26-8-2019 01:47:01,A320,EDDH,EHAM,430,300.0
26-8-2019 06:20:07,KLM678,KLM,L,26-8-2019 01:47:36,A333,CYYC,EHAM,498,370.0
26-8-2019 06:35:07,KLM39V,KLM,L,26-8-2019 01:50:01,B738,EHAM,ESSA,450,390.0
26-8-2019 06:05:06,TRA88B,TRA,L,26-8-2019 01:50:01,B738,EHAM,LEAL,446,350.0
26-8-2019 06:05:06,TRA20W,TRA,L,26-8-2019 01:50:01,B738,EHAM,LEMG,444,350.0
26-8-2019 05:50:07,KLM1853,KLM,L,26-8-2019 01:50:01,E75L,EHAM,EDDL,358,210.0
26-8-2019 06:20:06,KLM1839,KLM,L,26-8-2019 01:50:01,B738,EHAM,LOWW,464,350.0
26-8-2019 06:05:06,KLM1351,KLM,H,26-8-2019 01:50:01,E190,EHAM,LKPR,451,410.0
26-8-2019 05:50:08,KLM36M,KLM,L,26-8-2019 01:53:00,B737,LFLL,EHAM,447,400.0
26-8-2019 05:50:07,KLM1350,KLM,L,26-8-2019 01:53:00,B737,LKPR,EHAM,445,380.0
26-8-2019 06:05:07,TRA60T,TRA,L,26-8-2019 01:55:00,B737,EHRD,GCLP,444,380.0
26-8-2019 05:50:06,TRA31E,TRA,L,26-8-2019 01:55:00,B738,EHRD,LEGE,423,330.0
26-8-2019 06:20:06,KLM81V,KLM,L,26-8-2019 01:55:00,E75L,EHAM,EDDH,396,330.0
26-8-2019 06:05:07,KLM74L,KLM,L,26-8-2019 01:55:00,B737,ESGG,EHAM,442,400.0
26-8-2019 06:05:06,KLM49W,KLM,H,26-8-2019 01:55:00,E190,EHAM,LSGG,427,330.0
26-8-2019 06:20:07,KLM30T,KLM,H,26-8-2019 01:55:00,E190,ENZV,EHAM,447,260.0
26-8-2019 06:05:07,GIA088,GIA,L,26-8-2019 01:55:12,B77W,WIII,EHAM,505,300.0
26-8-2019 05:50:07,KLM24,KLM,L,26-8-2019 01:55:30,B772,KIAH,EHAM,485,350.0
26-8-2019 06:05:06,CAL073,CAL,L,26-8-2019 01:55:37,B77W,RCTP,EHAM,477,220.0
26-8-2019 07:20:08,DAL90,DAL,L,26-8-2019 01:58:27,B764,KATL,EDDL,470,330.0
26-8-2019 14:35:06,NHX12,NHX,S,26-8-2019 01:59:17,AS65,EHTP,EHTP,130,10.0
26-8-2019 16:05:07,NHX12,NHX,S,26-8-2019 01:59:37,AS65,EHTP,EHTP,130,10.0
26-8-2019 06:05:07,FOO8404,FOO,S,26-8-2019 02:00:00,A321,EHAM,EGGW,423,240.0
26-8-2019 06:05:07,CND595,CND,L,26-8-2019 02:00:00,B738,EHAM,LPFR,448,350.0
26-8-2019 06:20:06,HNL07A,HNL,E,26-8-2019 02:00:00,A139,EHKD,EHJF,140,20.0
26-8-2019 06:20:08,AUA37M,AUA,H,26-8-2019 02:00:00,A319,EHAM,LOWW,430,350.0
26-8-2019 09:20:05,PHLFB,,S,26-8-2019 02:00:00,C172,EHOW,EHOW,100,0.0
26-8-2019 06:05:06,AZA75C,AZA,L,26-8-2019 02:00:00,A319,EHAM,LIMC,450,390.0
26-8-2019 06:50:06,KLM1141,KLM,H,26-8-2019 02:00:00,E190,EHAM,ENGM,364,410.0
26-8-2019 06:20:06,CND193,CND,L,26-8-2019 02:00:00,B738,EHAM,LICC,449,370.0
26-8-2019 06:20:06,NJE512Y,NJE,L,26-8-2019 02:00:00,C68A,EHAM,LEIB,442,350.0
26-8-2019 06:20:06,CAI393,CAI,L,26-8-2019 02:00:00,B738,EHAM,LTFE,450,370.0
26-8-2019 06:05:07,EJU73DE,EJU,L,26-8-2019 02:00:00,A320,EHAM,LFMN,441,350.0
26-8-2019 06:35:08,SWR71H,SWR,L,26-8-2019 02:00:00,A320,EHAM,LSZH,468,330.0
26-8-2019 06:20:07,LOT27M,LOT,H,26-8-2019 02:00:00,E195,EHAM,EPWA,444,370.0
26-8-2019 05:50:07,TRA83N,TRA,L,26-8-2019 02:00:00,B738,EHEH,LEPA,449,370.0
26-8-2019 07:50:07,DEDDS,,S,26-8-2019 02:00:00,P28U,EHGG,EHSE,130,50.0
26-8-2019 05:50:07,TRA41K,TRA,L,26-8-2019 02:00:00,B738,EHEH,LEVC,435,330.0
26-8-2019 06:35:07,SAS550,SAS,L,26-8-2019 02:00:00,A20N,EHAM,EKCH,440,390.0
26-8-2019 06:05:07,TRA6259,TRA,L,26-8-2019 02:00:00,B738,EHRD,LDSP,445,410.0
26-8-2019 06:05:07,FOO884E,FOO,S,26-8-2019 02:00:00,A321,EHAM,LEBL,450,350.0
26-8-2019 06:05:08,TAP669,TAP,L,26-8-2019 02:00:01,A319,EHAM,LPPT,435,350.0
26-8-2019 06:05:07,HNL05A,HNL,E,26-8-2019 02:00:01,A139,EHKD,EHLL,140,20.0
26-8-2019 06:20:07,KLM61Z,KLM,L,26-8-2019 02:00:01,B738,EHAM,LEMD,453,350.0
26-8-2019 06:20:05,KLM69H,KLM,L,26-8-2019 02:00:01,B738,EHAM,EDDT,449,390.0
26-8-2019 06:20:06,KLM836,KLM,L,26-8-2019 02:00:25,B77W,WSSS,EHAM,496,320.0
26-8-2019 06:05:07,KLM672,KLM,L,26-8-2019 02:02:00,A333,CYUL,EHAM,470,410.0
26-8-2019 06:05:07,BTI6UT,BTI,S,26-8-2019 02:03:01,BCS3,EETN,EBBR,431,390.0
26-8-2019 06:05:06,EZS1041,EZS,L,26-8-2019 02:04:01,A319,LFSB,EHAM,402,220.0
26-8-2019 06:35:08,KLM446,KLM,L,26-8-2019 02:04:01,A332,OKBK,EHAM,475,260.0
26-8-2019 06:20:06,KLM1178,KLM,H,26-8-2019 02:04:01,E190,ESSL,EHAM,448,380.0
26-8-2019 06:50:07,KLM714,KLM,L,26-8-2019 02:04:01,B744,SMJP,EHAM,490,370.0
26-8-2019 06:05:07,KLM47B,KLM,H,26-8-2019 02:05:01,E190,EHAM,LSZH,423,330.0
26-8-2019 06:05:08,EJU94DN,EJU,L,26-8-2019 02:05:01,A320,EHAM,EGKK,386,240.0
26-8-2019 06:05:07,TRA25T,TRA,L,26-8-2019 02:05:01,B737,EHEH,LEAL,428,330.0
26-8-2019 05:50:07,TRA90B,TRA,L,26-8-2019 02:05:01,B737,EHRD,LEBL,426,330.0
26-8-2019 06:20:07,TRA83Y,TRA,L,26-8-2019 02:05:01,B738,EHAM,LGIR,445,390.0
26-8-2019 06:05:07,KLM84X,KLM,L,26-8-2019 02:06:01,E75L,LFSB,EHAM,432,360.0
26-8-2019 06:35:08,KLM900,KLM,L,26-8-2019 02:07:01,B738,UUEE,EHAM,449,380.0
26-8-2019 06:05:08,KLM1328,KLM,H,26-8-2019 02:07:01,E190,EKYT,EHAM,447,240.0
26-8-2019 06:20:07,KLM82G,KLM,L,26-8-2019 02:09:01,E75L,ENTO,EHAM,425,260.0
26-8-2019 06:20:06,TFL421,TFL,L,26-8-2019 02:10:01,B738,EHAM,GVSV,451,350.0
26-8-2019 06:20:07,KLM1206,KLM,H,26-8-2019 02:10:01,E190,ENCN,EHAM,443,400.0
26-8-2019 06:05:08,KLM1277,KLM,L,26-8-2019 02:10:01,B738,EHAM,EGPH,448,400.0
26-8-2019 06:05:07,TRA6531,TRA,L,26-8-2019 02:10:01,B738,EHEH,LLBG,388,230.0
26-8-2019 06:35:09,DAL258,DAL,L,26-8-2019 02:10:32,B763,KBOS,EHAM,460,350.0
26-8-2019 06:20:07,KLM76A,KLM,H,26-8-2019 02:11:00,E190,LFBD,EHAM,448,380.0
26-8-2019 06:20:07,KLM38H,KLM,L,26-8-2019 02:12:00,B738,LIPZ,EHAM,445,300.0
26-8-2019 06:05:07,EJU68QE,EJU,L,26-8-2019 02:15:00,A319,EHAM,EGPF,436,380.0
26-8-2019 07:05:08,KLM52F,KLM,L,26-8-2019 02:15:00,B738,EPWA,EHAM,450,380.0
26-8-2019 06:05:08,KLM11P,KLM,L,26-8-2019 02:15:00,B738,EHAM,LFPG,400,210.0
26-8-2019 06:50:06,KLM45C,KLM,S,26-8-2019 02:15:00,E190,EHAM,EDDM,453,350.0
26-8-2019 06:20:07,KLM19U,KLM,L,26-8-2019 02:15:00,B739,EHAM,LIRF,453,370.0
26-8-2019 06:20:07,HNL25A,HNL,E,26-8-2019 02:15:00,A139,EHKD,EHFR,140,20.0
26-8-2019 06:05:07,TRA49X,TRA,L,26-8-2019 02:15:00,B738,EHEH,LPFR,437,330.0
26-8-2019 06:35:09,KLM1184,KLM,L,26-8-2019 02:16:00,B738,ENBR,EHAM,449,260.0
26-8-2019 06:20:07,EJU16KM,EJU,L,26-8-2019 02:16:00,A320,LIMC,EHAM,436,220.0
26-8-2019 06:20:08,KLM26B,KLM,H,26-8-2019 02:16:00,E190,LIPE,EHAM,448,400.0
26-8-2019 06:20:08,DAL134,DAL,L,26-8-2019 02:16:57,A333,KDTW,EHAM,470,370.0
26-8-2019 06:35:07,KLM1454,KLM,H,26-8-2019 02:18:00,E190,LFRS,EHAM,427,340.0
26-8-2019 06:20:07,KLM46Q,KLM,L,26-8-2019 02:19:00,E75L,EGSH,EHAM,450,210.0
26-8-2019 06:35:07,BEL56M,BEL,H,26-8-2019 02:20:00,A319,EKCH,EBBR,453,310.0
26-8-2019 06:35:09,EJU7933,EJU,L,26-8-2019 02:20:00,A320,EHAM,LLBG,445,370.0
26-8-2019 06:20:07,KLM1001,KLM,L,26-8-2019 02:20:00,B737,EHAM,EGLL,405,240.0
26-8-2019 06:20:07,EJU92QV,EJU,L,26-8-2019 02:20:00,A320,EHAM,LIRF,442,370.0
26-8-2019 06:20:07,TRA38K,TRA,L,26-8-2019 02:20:00,B737,EHRD,LEAL,424,330.0
26-8-2019 06:20:07,TRA105,TRA,L,26-8-2019 02:20:00,B737,EHRD,BIAR,438,400.0
26-8-2019 06:50:06,KLM79M,KLM,L,26-8-2019 02:20:00,B738,EHAM,EKCH,451,370.0
26-8-2019 06:35:08,DLH1XY,DLH,H,26-8-2019 02:20:00,A321,EHAM,EDDM,443,350.0
26-8-2019 07:05:08,SIA7371,SIA,L,26-8-2019 02:20:00,B744,EHAM,OMSJ,495,330.0
26-8-2019 06:35:09,TRA96N,TRA,L,26-8-2019 02:20:00,B738,EHAM,LGSR,447,370.0
26-8-2019 06:20:06,AFR32UH,AFR,H,26-8-2019 02:20:15,CRJ7,LFST,EHAM,400,230.0
26-8-2019 06:50:07,EZY46AK,EZY,L,26-8-2019 02:22:01,A319,EGGW,EHAM,460,230.0
26-8-2019 07:20:09,DLH8PJ,DLH,H,26-8-2019 02:23:01,A319,EDDM,EHAM,444,320.0
26-8-2019 06:50:06,KLM1916,KLM,L,26-8-2019 02:24:01,E190,EPGD,EHAM,450,260.0
26-8-2019 06:35:08,AAL220,AAL,L,26-8-2019 02:24:41,B772,KDFW,EHAM,485,330.0
26-8-2019 06:20:07,EJU1354,EJU,L,26-8-2019 02:25:01,A320,EHAM,LSGG,434,330.0
26-8-2019 07:20:08,KLM27V,KLM,L,26-8-2019 02:27:01,B739,EGCC,EHAM,430,290.0
26-8-2019 06:35:08,KLM1762,KLM,H,26-8-2019 02:27:01,E190,EDDF,EHAM,387,240.0
26-8-2019 06:35:08,EZY16QR,EZY,L,26-8-2019 02:27:01,A319,EGKK,EHAM,460,230.0
26-8-2019 07:05:07,KLM90J,KLM,L,26-8-2019 02:27:01,B737,EGBB,EHAM,450,230.0
26-8-2019 06:35:09,KLM20R,KLM,L,26-8-2019 02:28:01,E75L,LIMF,EHAM,419,340.0
26-8-2019 06:35:07,KLM70X,KLM,H,26-8-2019 02:29:01,E190,ENVA,EHAM,449,260.0
26-8-2019 07:05:08,KLM872,KLM,L,26-8-2019 02:29:01,B772,VIDP,EHAM,487,320.0
26-8-2019 06:50:07,DAL142,DAL,L,26-8-2019 02:29:07,A333,KSEA,EHAM,470,350.0
26-8-2019 06:50:07,HNL06A,HNL,E,26-8-2019 02:30:01,A139,EHKD,EHJA,140,20.0
26-8-2019 06:20:07,CND593,CND,L,26-8-2019 02:30:01,B738,EHBK,GCLP,382,180.0
26-8-2019 07:05:07,TFL795,TFL,H,26-8-2019 02:30:01,B763,EHAM,LTAI,444,370.0
26-8-2019 06:50:06,KLM1140,KLM,L,26-8-2019 02:30:01,B737,ENGM,EHAM,442,380.0
26-8-2019 06:50:06,WGT8H,WGT,L,26-8-2019 02:30:01,FA7X,EHAM,ETSI,499,310.0
26-8-2019 12:35:07,WHS3XH,WHS,S,26-8-2019 02:30:01,A139,EDWE,EHHI,140,0.0
26-8-2019 06:35:09,BEL24C,BEL,H,26-8-2019 02:30:01,CRJ9,EKBI,EBBR,456,330.0
26-8-2019 06:50:06,TRA737X,TRA,L,26-8-2019 02:30:01,B738,EHAM,LGKL,448,370.0
26-8-2019 06:20:07,TRA51X,TRA,L,26-8-2019 02:30:01,B738,EHEH,EKCH,450,230.0
26-8-2019 06:35:09,DAL72,DAL,L,26-8-2019 02:30:29,A333,KATL,EHAM,470,370.0
26-8-2019 06:35:08,RYR9271,RYR,S,26-8-2019 02:33:00,B738,EGSS,EHEH,450,190.0
26-8-2019 06:50:06,DAL160,DAL,L,26-8-2019 02:33:54,A333,KMSP,EHAM,470,370.0
26-8-2019 06:20:08,TRA30X,TRA,L,26-8-2019 02:35:00,B737,EHRD,LPFR,422,330.0
