icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
SPPH,,Pampa Hermosa Airport,Pampa Hermosa,Loreto,PE,510,-7.199999809,-75.30000305,America/Lima,
SPPL,,Playa Airport,Trismaje,San Martin,PE,2070,-8.517820358,-76.48049927,America/Lima,
SPPM,,Pomacocha Airport,Pomacocha,Ayacucho,PE,10524,-15.17920017,-73.2743988,America/Lima,
SPPN,,Palmas del Espino Airport,Palmas del Espino,San Martin,PE,1625,-8.292590141,-76.43959808,America/Lima,
SPPO,,Pozuzo Airport,Pozuzo,,PE,2420,-10.07009983,-75.55000305,America/Lima,
SPPP,,Huanacopampa Airport,Huanacopampa,Apurimac,PE,13130,-14.1559,-72.28379822,America/Lima,
SPPY,CHH,Chachapoyas Airport,Chachapoyas,Amazonas,PE,8333,-6.201809883,-77.85610199,America/Lima,
SPPZ,,Palcazu Airport,Porvenir,Pasco,PE,932,-9.895833015,-75.11777496,America/Lima,
SPQI,,Kiteni Airport,La Convencion,Cusco,PE,2540,-12.6491003,-73.03780365,America/Lima,
SPQJ,,Jaqui Airport,Jaqui,Arequipa,PE,0,-15.46666718,-74.43333435,America/Lima,
SPQN,REQ,Requena Airport,Requena,Loreto,PE,393,-5.066999912,-73.86699677,America/Lima,
SPQR,,Quiruvilca Airport,Qiruvilca,La Libertad,PE,13509,-7.966666699,-78.19999695,America/Lima,
SPQT,IQT,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,Loreto,PE,306,-3.784739971,-73.30879974,America/Lima,
SPQU,AQP,Rodriguez Ballon International Airport,Arequipa,Arequipa,PE,8405,-16.34110069,-71.58309937,America/Lima,
SPRF,,San Rafael Airport,San Rafael,Puno,PE,14422,-14.2670002,-70.46700287,America/Lima,
SPRG,,San Regis Airport,Chincha,Ica,PE,294,-13.51666641,-76.09999847,America/Lima,
SPRL,,Imperial Airport,Imperial,Huancavelica,PE,0,-12.3166666,-75.06666565,America/Lima,
SPRM,,Capitan FAP Leonardo Alvarino Herr Airport,San Ramon,Junin,PE,2600,-11.12860012,-75.35050201,America/Lima,
SPRU,TRU,Capitan FAP Carlos Martinez De Pinillos International Airport,Trujillo,La Libertad,PE,106,-8.081410408,-79.1088028,America/Lima,
SPSA,,Casma Airport,Casma,Ancash,PE,248,-9.449999809,-78.30000305,America/Lima,
SPSE,,Sepahua Airport,Sepahua,Ucayali,PE,886,-11.14179993,-73.03350067,America/Lima,
SPSF,SQD,San Francisco Airport,San Francisco de Yeso,Amazonas,PE,8202,-6.616680145,-77.76670074,America/Lima,
SPSI,,Siguas Airport,Siguas,Arequipa,PE,4720,-16.36700058,-72.16699982,America/Lima,
SPSJ,,San Jose de Sisa Airport,El Dorado,San Martin,PE,1200,-6.616489887,-76.68840027,America/Lima,
